228194,ESCOLAS,22 – SEDUC,Administração direta
228195,ESCOLAS,22 – SEDUC,Administração direta
228196,ESCOLAS,22 – SEDUC,Administração direta
228197,ESCOLAS,22 – SEDUC,Administração direta
228198,ESCOLAS,22 – SEDUC,Administração direta
228199,ESCOLAS,22 – SEDUC,Administração direta
228200,ESCOLAS,22 – SEDUC,Administração direta
228201,ESCOLAS,22 – SEDUC,Administração direta
228202,ESCOLAS,22 – SEDUC,Administração direta
228203,ESCOLAS,22 – SEDUC,Administração direta
228204,ESCOLAS,22 – SEDUC,Administração direta
228206,ESCOLAS,22 – SEDUC,Administração direta
228207,ESCOLAS,22 – SEDUC,Administração direta
228208,ESCOLAS,22 – SEDUC,Administração direta
228209,ESCOLAS,22 – SEDUC,Administração direta
228210,ESCOLAS,22 – SEDUC,Administração direta
228211,ESCOLAS,22 – SEDUC,Administração direta
228212,ESCOLAS,22 – SEDUC,Administração direta
228213,ESCOLAS,22 – SEDUC,Administração direta
228214,ESCOLAS,22 – SEDUC,Administração direta
228215,ESCOLAS,22 – SEDUC,Administração direta
228216,ESCOLAS,22 – SEDUC,Administração direta
228217,ESCOLAS,22 – SEDUC,Administração direta
228218,ESCOLAS,22 – SEDUC,Administração direta
228219,ESCOLAS,22 – SEDUC,Administração direta
228220,ESCOLAS,22 – SEDUC,Administração direta
228221,ESCOLAS,22 – SEDUC,Administração direta
228222,ESCOLAS,22 – SEDUC,Administração direta
228223,ESCOLAS,22 – SEDUC,Administração direta
228224,ESCOLAS,22 – SEDUC,Administração direta
228225,ESCOLAS,22 – SEDUC,Administração direta
228226,ESCOLAS,22 – SEDUC,Administração direta
228227,ESCOLAS,22 – SEDUC,Administração direta
228228,ESCOLAS,22 – SEDUC,Administração direta
228229,ESCOLAS,22 – SEDUC,Administração direta
228230,ESCOLAS,22 – SEDUC,Administração direta
228231,ESCOLAS,22 – SEDUC,Administração direta
228232,ESCOLAS,22 – SEDUC,Administração direta
228233,ESCOLAS,22 – SEDUC,Administração direta
228234,ESCOLAS,22 – SEDUC,Administração direta
228235,ESCOLAS,22 – SEDUC,Administração direta
228236,ESCOLAS,22 – SEDUC,Administração direta
228237,ESCOLAS,22 – SEDUC,Administração direta
228238,ESCOLAS,22 – SEDUC,Administração direta
228239,ESCOLAS,22 – SEDUC,Administração direta
228240,ESCOLAS,22 – SEDUC,Administração direta
228241,ESCOLAS,22 – SEDUC,Administração direta
228242,ESCOLAS,22 – SEDUC,Administração direta
228243,ESCOLAS,22 – SEDUC,Administração direta
228244,ESCOLAS,22 – SEDUC,Administração direta
228245,ESCOLAS,22 – SEDUC,Administração direta
228246,ESCOLAS,22 – SEDUC,Administração direta
228247,ESCOLAS,22 – SEDUC,Administração direta
228248,ESCOLAS,22 – SEDUC,Administração direta
228249,ESCOLAS,22 – SEDUC,Administração direta
228250,ESCOLAS,22 – SEDUC,Administração direta
228251,ESCOLAS,22 – SEDUC,Administração direta
228252,ESCOLAS,22 – SEDUC,Administração direta
228253,ESCOLAS,22 – SEDUC,Administração direta
228254,ESCOLAS,22 – SEDUC,Administração direta
228255,ESCOLAS,22 – SEDUC,Administração direta
228256,ESCOLAS,22 – SEDUC,Administração direta
228257,ESCOLAS,22 – SEDUC,Administração direta
228258,ESCOLAS,22 – SEDUC,Administração direta
228259,ESCOLAS,22 – SEDUC,Administração direta
228260,ESCOLAS,22 – SEDUC,Administração direta
228261,ESCOLAS,22 – SEDUC,Administração direta
228262,ESCOLAS,22 – SEDUC,Administração direta
228263,ESCOLAS,22 – SEDUC,Administração direta
228264,ESCOLAS,22 – SEDUC,Administração direta
228265,ESCOLAS,22 – SEDUC,Administração direta
228266,ESCOLAS,22 – SEDUC,Administração direta
228267,ESCOLAS,22 – SEDUC,Administração direta
228268,ESCOLAS,22 – SEDUC,Administração direta
228269,ESCOLAS,22 – SEDUC,Administração direta
228270,ESCOLAS,22 – SEDUC,Administração direta
228271,ESCOLAS,22 – SEDUC,Administração direta
228272,ESCOLAS,22 – SEDUC,Administração direta
228273,ESCOLAS,22 – SEDUC,Administração direta
228274,ESCOLAS,22 – SEDUC,Administração direta
228275,ESCOLAS,22 – SEDUC,Administração direta
